,title,pitchfork,bnm,year,artist,genre,fantano,_merge
1875,ego death,7.4,0.0,2015.0,the internet,pop/r&b,5.0,both
1888,dreams worth more than money,7.4,0.0,2015.0,meek mill,rap,7.0,both
1892,wildheart,8.9,1.0,2015.0,miguel,pop/r&b,5.0,both
1906,the beyond / where the giants roam,8.3,1.0,2015.0,thundercat,electronic,6.0,both
1909,get to heaven,7.2,0.0,2015.0,everything everything,rock,8.0,both
1910,get to heaven,7.2,0.0,2015.0,everything everything,pop/r&b,8.0,both
1911,get to heaven,7.2,0.0,2015.0,everything everything,electronic,8.0,both
1922,pale horses,7.2,0.0,2015.0,mewithoutyou,rock,5.0,both
1929,payola,7.6,0.0,2015.0,desaparecidos,rock,5.0,both
1948,luminiferous,8.0,0.0,2015.0,high on fire,metal,8.0,both
1952,lantern,7.4,0.0,2015.0,hudson mohawke,electronic,5.0,both
1953,success,5.9,0.0,2015.0,ken mode,metal,8.0,both
1966,universal themes,6.0,0.0,2015.0,sun kil moon,folk/country,6.0,both
1971,drones,4.5,0.0,2015.0,muse,rock,5.0,both
1980,surf,8.3,1.0,2015.0,donnie trumpet & the social experiment,rap,4.0,both
1981,surf,8.3,1.0,2015.0,donnie trumpet & the social experiment,pop/r&b,4.0,both
2002,in colour,9.3,1.0,2015.0,jamie xx,electronic,7.0,both
2003,algiers,7.7,0.0,2015.0,algiers,rock,8.0,both
2019,multi-love,7.1,0.0,2015.0,unknown mortal orchestra,rock,8.0,both
2020,days with dr. yen lo,8.0,0.0,2015.0,dr. yen lo,rap,6.0,both
2029,platform,8.7,1.0,2015.0,holly herndon,experimental,6.0,both
2030,mutilator defeated at last,7.8,0.0,2015.0,thee oh sees,rock,6.0,both
2034,why make sense?,7.3,0.0,2015.0,hot chip,electronic,6.0,both
2039,sol invictus,6.0,0.0,2015.0,faith no more,rock,6.0,both
2043,ratchet,8.3,1.0,2015.0,shamir,pop/r&b,5.0,both
2052,frozen niagara falls,8.5,1.0,2015.0,prurient,experimental,8.0,both
2057,bush,6.5,0.0,2015.0,snoop dogg,rap,5.0,both
2059,dumb flesh,7.6,0.0,2015.0,blanck mass,electronic,6.0,both
2067,dark bird is home,6.7,0.0,2015.0,the tallest man on earth,folk/country,6.0,both
2071,the epic,8.6,1.0,2015.0,kamasi washington,jazz,9.0,both
2076,sprinter,8.0,0.0,2015.0,torres,rock,5.0,both
2089,painted shut,7.9,0.0,2015.0,hop along,rock,8.0,both
2108,the magic whip,7.0,0.0,2015.0,blur,rock,7.0,both
2109,if,7.2,0.0,2015.0,paul de jong,pop/r&b,7.0,both
2111,love story,4.9,0.0,2015.0,yelawolf,rap,3.0,both
2119,barter 6,8.4,1.0,2015.0,young thug,rap,5.0,both
2125,sound & color,8.1,0.0,2015.0,alabama shakes,rock,8.0,both
2137,the children of the night,8.4,0.0,2015.0,tribulation,metal,7.0,both
2140,damogen furies,7.3,0.0,2015.0,squarepusher,electronic,6.0,both
2144,cherry bomb,6.7,0.0,2015.0,"tyler, the creator",rap,3.0,both
2172,white men are black men too,6.8,0.0,2015.0,young fathers,rap,8.0,both
2182,what for?,6.6,0.0,2015.0,toro y moi,electronic,7.0,both
2186,dark red,5.9,0.0,2015.0,shlohmo,electronic,6.0,both
2187,beat the champ,6.6,0.0,2015.0,the mountain goats,rock,8.0,both
2190,this world is not enough,5.6,0.0,2015.0,marching church,rock,6.0,both
2197,kintsugi,5.5,0.0,2015.0,death cab for cutie,rock,5.0,both
2198,the album about nothing,5.4,0.0,2015.0,wale,rap,4.0,both
2201,"asunder, sweet and other distress",7.6,0.0,2015.0,godspeed you! black emperor,rock,6.0,both
2211,carrie & lowell,9.3,1.0,2015.0,sufjan stevens,folk/country,7.0,both
2217,short movie,7.4,0.0,2015.0,laura marling,rock,7.0,both
2220,the ark work,6.4,0.0,2015.0,liturgy,metal,7.0,both
2225,mr. wonderful,6.3,0.0,2015.0,action bronson,rap,5.0,both
2230,"i don't like shit, i don't go outside",8.0,0.0,2015.0,earl sweatshirt,rap,6.0,both
2235,"sometimes i sit and think, and sometimes i just sit",8.6,1.0,2015.0,courtney barnett,rock,5.0,both
2240,eclipse,4.9,0.0,2015.0,twin shadow,rock,3.0,both
2244,to pimp a butterfly,9.3,1.0,2015.0,kendrick lamar,rap,10.0,both
2249,fantasy empire,8.0,0.0,2015.0,lightning bolt,rock,7.0,both
2254,strangers to ourselves,6.4,0.0,2015.0,modest mouse,rock,5.0,both
2276,eat pray thug,6.3,0.0,2015.0,heems,rap,4.0,both
2281,blade of the ronin,6.7,0.0,2015.0,cannibal ox,rap,5.0,both
2300,aureate gloom,7.0,0.0,2015.0,of montreal,rock,6.0,both
2308,another eternity,6.6,0.0,2015.0,purity ring,electronic,4.0,both
2312,you're better than this,7.4,0.0,2015.0,pile,rock,6.0,both
2323,citizen zombie,2.4,0.0,2015.0,the pop group,rock,9.0,both
2327,earthee,6.8,0.0,2015.0,theesatisfaction,rock,7.0,both
2334,gliss riffer,7.2,0.0,2015.0,dan deacon,electronic,5.0,both
2336,rose mountain,6.7,0.0,2015.0,screaming females,rock,6.0,both
2374,hyperview,7.6,0.0,2015.0,title fight,rock,4.0,both
2384,"i love you, honeybear",8.8,1.0,2015.0,father john misty,rock,8.0,both
2392,scar sighted,7.4,0.0,2015.0,leviathan,metal,8.0,both
2395,lost themes,7.6,0.0,2015.0,john carpenter,experimental,7.0,both
2399,sauna,8.1,0.0,2015.0,mount eerie,rock,6.0,both
2405,b4.da.$$,7.0,0.0,2015.0,joey bada$$,rap,8.0,both
2420,tierra y libertad,7.6,0.0,2015.0,xibalba,metal,6.0,both
